english,mirad
we are not your parents but we know your parents,yat voy se eta tedi oy yat tre eta tedi
they are not our parents but they know our parents,yit voy se yata tedi oy yit tre yata tedi
this teacher is very good but that teacher is not very good,hia tuxut se gla fia oy hua tuxut se glo fia
this teacher is too good but that teacher is good enough,hia tuxut se gra fia oy hua tuxut se gre fia
this teacher is good enough but that teacher is not good enough,hia tuxut se gre fia oy hua tuxut se gro fia
this teacher is the best and that teacher is the least good,hia tuxut se ha gwa fia ay hua tuxut se ha gwo fia
this teacher is possibly better than that teacher but that teacher is very good,hia tuxut se vey ga fia vyel hua tuxut oy hua tuxut se gla fia
my house is bigger than yours but this house is not as big as mine,ata tam se ga aga vyel etas oy hia tam voy se ge aga vyel atas
our house is bigger than yours but this house is not as big as ours,yata tam se ga aga vyel etas oy hia tam voy se ge aga vyel yatas
this house is bigger than yours but that house is small,hia tam se ga aga vyel etas oy hua tam se oga
this house is big and beautiful but that house is small and ugly,hia tam se aga ay via oy hua tam se oga ay vua
this desk is small but good and that desk is big but bad,hia dresem se oga oy fia ay hua dresem se aga oy fua
the desk is clean and small but the house is dirty and big,ha dresem se vyia ay oga oy ha tam se vyua ay aga
the teacher is good and the student is bad,ha tuxut se fia ay ha tixut se fua
the teacher is bad and the student is good,ha tuxut se fua ay ha tixut se fia
my teacher is good but your teacher is bad,ata tuxut se fia oy eta tuxut se fua
your teacher is good but my teacher is bad,eta tuxut se fia oy ata tuxut se fua
our teacher is good but their teacher is bad,yata tuxut se fia oy yita tuxut se fua
their teacher is good but our teacher is bad,yita tuxut se fia oy yata tuxut se fua
this student is good and this teacher is good,hia tixut se fia ay hia tuxut se fia
that student is bad and that teacher is bad,hua tixut se fua ay hua tuxut se fua
this student is good but that student is bad,hia tixut se fia oy hua tixut se fua
this teacher is good but that student is bad,hia tuxut se fia oy hua tixut se fua
my name is bill and your name is john,ata dyun se bill ay eta dyun se john
your name is john and my name is bill,eta dyun se john ay ata dyun se bill
my name is bill but your name is john,ata dyun se bill oy eta dyun se john
your name is beautiful but my name is ugly,eta dyun se via oy ata dyun se vua
my life is good but your life is bad,ata tej se fia oy eta tej se fua
your life is good but my life is bad,eta tej se fia oy ata tej se fua
our life is good but their life is bad,yata tej se fia oy yita tej se fua
their life is good but our life is bad,yita tej se fia oy yata tej se fua
this building is a store but this building was a store before,hia tom se nam oy hia tom sa nam ja his
this building was a store but this building will be a store,hia tom sa nam oy hia tom so nam
this building will be a store and this building would be a store,hia tom so nam ay hia tom su nam
the student walks to school every day but today the student is walking home,ha tixut tyoyape tistam hyajub oy hijub ha tixut tyoyapeye tam
the students walk to school every day but today the students are walking home,ha tixuti tyoyape tistam hyajub oy hijub ha tixuti tyoyapeye tam
the student is walking to school today and the teacher is going home,ha tixut tyoyapeye tistam hijub ay ha tuxut peye tam
do you walk to school every day,duven et tyoyape tistam hyajub
do you all walk to school every day,duven yet tyoyape tistam hyajub
do they walk to school every day,duven yit tyoyape tistam hyajub
do you walk to school today,duven et tyoyapeye tistam hijub
do you all walk to school today,duven yet tyoyapeye tistam hijub
do they walk to school today,duven yit tyoyapeye tistam hijub
i did not see his book but i know his father,at voy teata wita dyes oy at tre wita twed
i did not see her book but i know her father,at voy teata iyta dyes oy at tre iyta twed
we did not see his or her book but we know his or her father,yat voy teata ita dyes oy yat tre ita twed
they did not see our book but they know our father,yit voy teata yata dyes oy yit tre yata twed
i myself do not smoke but people often smoke,at aut voy movie oy yot glaxag movie
you yourself do not smoke but people often smoke,et eut voy movie oy yot glaxag movie
we ourselves do not smoke but people often smoke,yat yaut voy movie oy yot glaxag movie
they themselves do not smoke but people often smoke,yit yuit voy movie oy yot glaxag movie
we must protect our own things and we must work together,yat yefe ovmasber yatasi ay yat yefe yexer yan
you all must protect your own things and you all must work together,yet yefe ovmasber yetasi ay yet yefe yexer yan
they must protect their own things and they must work together,yit yefe ovmasber yitasi ay yit yefe yexer yan
every man must do his part and every person must love oneself,hya tob yefe xer ita gon ay ot yefe ifer out
people often do not love themselves but one must love oneself,yot glaxag voy ife yout oy ot yefe ifer out
you people hate yourselves but we do not hate you,yet ufe yeut oy yat voy ufe yet
we hate you but you people do not hate yourselves,yat ufe yet oy yet voy ufe yeut
she sings beautifully and she also dances,iyt deuze vi ay iyt gay daze
he sings beautifully and he also plays an instrument,wit deuze vi ay wit gay duzare
they sing beautifully and they also dance,yit deuze vi ay yit gay daze
he sings dances and plays an instrument but she also sings,wit deuze daze ay duzare oy iyt gay deuze
she played but lost and he tried but lost,iyt eka oy oka ay wit yeka oy oka
he often wins but she won a lot,wit glaxag ake oy iyt aka glas
often he wins but today she won a lot,glaxag wit ake oy hijub iyt aka glas
do you know the answer and do you know why he did it,duven et te ha dud ay duven et te hosav wit xa his
do you know why he did it and do you know where he went,duven et te hosav wit xa his ay duven et te hom wit pa
do you know the answer but not know where he went,duven et te ha dud oy voy te hom wit pa
who stole my book and who won,duhot kobia ata dyes ay duhot aka
where has he gone and where has she gone,duhom wit paye ay duhom iyt paye
how much did she win and who won,duhoglas iyt aka ay duhot aka
are you married and are the stars bright,duven et se tadxwa ay duven ha mari se manika
are you married but not happy,duven et se tadxwa oy voy se iva
are the stars bright but the night cold,duven ha mari se manika oy ha moj se oma
you live in the neighborhood right and you work near here,et tambese ha yubem vao ay et yexe yub bi him
yes i indeed agree and maybe i may go,va at vay yantexe ay ve at vey po
no i would not be happy but maybe i may go,vo at voy su iva oy ve at vey po
maybe i may go but i do not know,ve at vey po oy at voy te
no i do not know but i will ask,vo at voy te oy at doho
go to the store and buy me a book,pe ha nam ay nusbiu at dyes
go to the store and buy a book for me,pe ha nam ay nusbiu dyes av at
come play with us and stay together,upu eker bay yat ay besu yan
come in please and give me that box,hwey yepu ay buu at hua nyem
take this telegram and give me that box,biu hia yibdren ay buu at hua nyem
tell him to be quiet and tell her that,du it doler ay du iyt hus
play or get lost but do not laugh,eku ey pilu oy von hihidu
do not laugh and do not drink this,von hihidu ay von tilu his
do not be late and do not laugh,von et jwosu ay von hihidu
work hard and speak softly,yexu jestay ay dalu yug
speak softly but do not speak too fast,dalu yug oy von dalu gra ig
come to the grocery store sometime and work hard,upu ha tolnam hej ay yexu jestay
may you live long and be well,van et yagteju ay su baka
let us pray and let us go,van yat fyadilu ay van yat pu
let us go home and work together,van yat pu tam ay van yat yexu yan
this is a good thing and that is mine,his se fis ay huas se atas
this is yours but that is mine,hias se etas oy huas se atas
those are yours and these are mine,huasi se etasi ay hiasi se atasi
is that house yours or is this house mine,duven hua tam se etas ey duven hia tam se atas
whose book is this and whose are these books,duhota dyes se his ay duhotasi se hia dyesi
this book is my favorite but that book is yours,hia dyes se ata gafias oy hua dyes se etas
these words are prohibited but this book is my favorite,hiia duni se yofwa oy hia dyes se ata gafias
all roads lead to rome but all the roads are blocked,hya mepi izpe roma oy hya ha mepi se ebwa
both cities have grown and any color will be fine,hyaewa domi agsaye ay hyea voz so fia
nothing bothers that gal but no story is more important,hyos oboxe huyt oy hyoa din se ga tesika
whatever room you want you can have but this room will be blue,hyea tim et fe et yafe ayser oy hia tim so yovoza
the man left for no reason but someone else won,ha tob pia hyosav oy hyut aka
why did she leave so early and where has she gone,duhosav iyt pia huugla jwa ay duhom iyt paye
the earth goes around the sun and the stars are bright,ha meir yuzpe ha maar ay ha mari se manika
the sun has risen so you must get up out of bed,ha maar yapaye avhus et yefe sumpier
it is hot here but it will rain,se ama him oy mamilo
it may rain but everything is fine,vey mamilo oy hyas se fia
it is sad that she left but it is good to win,se uva van iyt pia oy se fia aker
hi my name is Sam I am from Australia i study Mirad everything is fine,hay ata dyun se Sam at byise Ausom at tixe Mirad hyas se fia
hello I think that you are a beautiful woman,hay at texe van et se via toyb
hello I think that you are a very beautiful woman,hay at texe van et se gla via toyb
hello I think that you are a beautiful man,hay at texe van et se via tob
hello I think that you are a very beautiful man,hay at texe van et se gla via tob
you are an ugly woman,et se vua toyb
you are an ugly man,et se vua tob
